2.11 - Emisiones de gases de efecto invernadero(a),,,,,,,,2.11 - Emisiones de gases de efecto invernadero,,,,,,,,,2.11 - Emisiones de gases de efecto invernadero ,,,,,,,,,2.11 - Emisiones de gases de efecto invernadero.,,,,,,,
         ,,,,,,,,          ,,,,,,,,,          ,,,,,,,,,,,,,,,,
,,,,,,Gigagramo,,,,,,,,,Gigagramo,,,,,,,,,Gigagramo,,          ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gigagramo
,,,,,,,,,,,,,,,,,,,,,,,,,,AÑOS,CO2,CH4,N2O,NOx,CO,COVDM,SO2
AÑOS,CO2,CH4,N2O,SF6,HFC,PFC,,AÑOS,CO2,CH4,N2O,NOx,CO,COVDM,SO2,,AÑOS,CO2,CH4,N2O,NOx,CO,COVDM,SO2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2010 (a),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Procesos industriales y uso de productos,"1.462,10",-,-,…,…,…,,  Agricultura,..,"212,09","10,04","0,82","28,96",..,..,,      Procesos industriales,"715,28",.,"0,21",..,..,..,..,,"Fuente: Instituto de Meteorología, Ministerio de Ciencia, Tecnología y Medio Ambiente.",,,,,,,
"      Agricultura, silvicultura y otros usos de la tierra","-14.209,53","229,11","8,92",…,…,…,,  Cambio de uso de la tierra y silvicultura,"-20.473,81","33,52",0,"0,07","2,56",..,..,,  Agricultura,"185,97","201,52","13,26",..,..,..,..,,(a) Emisiones recalculadas según la metodología aplicada para el reporte mencionado en la fuente.,,,,,,,
      Desechos,-,"100,54","0,58",…,…,…,,  Desechos,.,"128,72","0,59",.,.,.,.,,  Cambio de uso de la tierra y silvicultura,"-28.439,03",-,-,..,..,..,..,,,,,,,,,
2008,,,,,,,,,,,,,,,,,  Desechos,.,"179,53","0,75",.,.,.,.,,,,,,,,,
Emisiones Brutas,"33.569,80","428,14","10,34",…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones Netas,"17.791,81","428,14","10,34",…,…,…,,(a) Emisiones recalculadas según la metodología aplicada para el reporte mencionado en la fuente.,,,,,,,,,,,,,,,,,,,,,,,,,
      Energía,"30.060,89","90,19","0,53",…,…,…,,"Fuente: Instituto de Meteorología, Ministerio de Ciencia, Tecnología y Medio Ambiente.",,,,,,,,,,,,,,,,,,,,,,,,,
      Procesos industriales y uso de productos,"1.429,08",-,-,…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,
"      Agricultura, silvicultura y otros usos de la tierra","-13.698,16","233,82","9,23",…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Desechos,-,"104,13","0,59",…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones Brutas,"31.489,45","432,11","10,40",…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones Netas,"13.101,63","432,11","10,40",…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Energía,"28.326,63","87,61","0,49",…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Procesos industriales y uso de productos,"1.279,00",-,-,…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,
"      Agricultura, silvicultura y otros usos de la tierra","-16.504,00","240,10","9,35",…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Desechos,-,"104,40","0,55",…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,
