8.12 -  Importaciones de productos seleccionados según secciones y capítulos de la Clasificación Uniforme para el Comercio  Internacional (CUCI) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sección ,Capítulo,CONCEPTO, UM,1998 ,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Valor total de las importaciones (a),MP,4.181.192,4.349.090,4.795.613,4.793.235,4.140.767,4.612.598,5.615.198,7.604.259,9.497.890,10.079.210,14.234.094,8.906.010,10.644.338,13.952.403,13.800.851,14.706.619,13.036.844,11.702.367,10.269.904,10.171.983,11.483.653,9.901.427,7.230.347,8.431.207,9.833.120,,,,,,
0 ,,   Productos alimenticios y animales vivos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,210.437,23.620,31.511,32.372,2.199,1.982,5.053,1.545,1.861,2.362,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
,,             Valor,MP,7.441,3.517,4.173,2.356,482,287,705,474,839,482,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
,,         Aparatos transmisores que incorporan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          aparatos de recepción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Cantidad,U,15.751,18.166,15.353,16.219,13.461,21.551,29.327,9.244,26.929,70.611,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
,,             Valor,MP,7.106,7.880,7.467,8.042,5.408,10.878,9.837,4.688,4.974,7.529,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
,,"         Partes, piezas y accesorios adecuados para",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          usar con los aparatos eléctricos para telefo-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          nía y telegrafía con hilos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,37.567,35.047,26.639,30.895,21.339,16.353,20.291,15.460,22.750,27.161,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
,,"         Partes, piezas y accesorios adecuados para usar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"          con receptores de televisión, radioreceptores, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"          aparatos transmisores de radiotelefonía, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"          radiotelegrafía, radiodifusión o televisión y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"          equipo de telecomunicaciones, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,24.100,19.191,9.628,10.047,10.092,16.553,23.391,15.690,16.196,14.410,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
,77,"         Máquinas, aparatos y artefactos eléctricos,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"          n.e.p., y sus partes y piezas eléc-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"          tricas (incluso las contrapartes no eléctricas,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"          n.e.p., del equipo eléctrico de uso doméstico)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,             Valor,MP,193.397,192.220,191.210,228.096,171.564,193.435,264.117,467.251,1.059.717,881.204,622.860,343.201,321.428,427.161,451.230,562.625,476.646,639.014,605.698,538.334,526.698,454.273,396.762,397.561,386.218,,,,,,
,,     Transformadores eléctricos de dieléctrico  líquido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,U,86.060,16.898,9.375,17.776,19.166,7.085,9.122,6.089,28.687,10.947,20.786,4.145,10.750,2.528,1.936,24.214,1.334,18.656,8.923,8.967,4.912,26.098,1.435,3.617,2.970,,,,,,
,,         Valor,MP,5.873,6.507,6.031,8.434,6.020,2.922,4.117,5.322,57.103,37.408,32.873,16.075,39.636,10.417,14.497,7.157,7.405,11.342,9.110,7.862,14.656,9.095,2.528,7.280,5.898,,,,,,
,,     Otros transformadores eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,U,90.191,167.456,93.605,80.526,109.168,148.939,117.930,98.214,229.540,131.392,165.029,52.513,62.477,101.625,59.354,78.358,59.955,377.193,36.661,116.467,26.015,100.397,15.986,63.744,21.329,,,,,,
,,         Valor,MP,4.334,3.843,3.492,2.798,4.381,3.379,3.279,20.659,16.071,4.831,9.812,6.820,7.540,12.374,8.772,19.263,8.118,14.210,8.556,3.988,7.490,5.732,8.434,3.643,8.667,,,,,,
,,     Otros conmutadores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,MU,2.959,2.708,3.144,2.912,3.656,2412 ,3.417,3.572,5.398,4.163,4.626,2.042,1.431,8.607,3.891,7.926,3.527,4.955,3.425,4.052,1.695,1.410,821,1.061,1.088,,,,,,
,,         Valor,MP,5.645,5.677,6.489,7.957,7.730,8.386,8.868,10.532,16.603,18.552,17.238,11.525,6.476,15.800,16.092,17.644,16.808,18.653,20.689,18.705,13.327,10.544,10.488,5.337,5.750,,,,,,
,,"     Otros aparatos eléctricos para empalme, corte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,       protección o conexión de circuitos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,       para voltajes no superiores a 1000 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,MU,5.427,8.046,3.396,10.717,2.455,4.447,9.365,5.334,11.271,2.558,3.377,2.634,6.005,3.362,6.901,11.748,8.906,7.768,9.553,6.473,2.888,6.657,5.971,7.764,2.169,,,,,,
,,         Valor,MP,7.386,8.535,5.532,7.620,5.714,6.372,8.048,9.980,14.809,6.469,7.544,6.905,5.002,7.122,9.337,13.719,11.358,17.305,13.343,13.390,10.005,11.903,15.656,10.590,7.675,,,,,,
,,"     Cuadros, paneles, consolas, mesas, cajas y otras ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"       bases, equipados con dos o más aparatos de los ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"       rubros 772,4 ó 772,5,para control eléctrico o ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,       distribución de electricidad para voltajes no ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,       superiores a 1000 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,U,1.530.604,902.662,316.611,217.760,516.307,97.636,538.353,718.901,988.767,382.039,150.383,30.224,47.812,137.047,245.996,34.621,82.672,213.637,212.174,108.273,68.792,39.811,53.238,34.985,152.633,,,,,,
,,         Valor,MP,6.469,9.881,8.538,8.966,7.470,6.024,8.011,11.032,29.600,25.843,25.754,18.102,10.048,25.021,27.037,44.599,32.986,53.707,32.317,41.622,57.338,57.751,23.791,39.631,21.132,,,,,,
,,     Otros conductores eléctricos para voltajes supe-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"       riores a 80 v, pero no superiores a 1000 v",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,1.668,1.876,2.094,1.439,2.096,2.033,2.936,2.329,4.285,1.929,2.894,2.007,1.466,2.070,2.927,3.729,2.502,4.404,4.384,4.255,3.051,2.720,2.547,2.314,1.872,,,,,,
,,         Valor,MP,8.444,10.083,10.238,7.956,8.894,10.518,16.382,15.380,34.685,23.029,37.030,20.855,15.133,25.936,37.297,42.658,24.576,40.314,34.990,36.566,30.775,24.716,19.297,19.374,23.411,,,,,,
,,     Refrigeradores de uso doméstico incluyan o ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,     no un compartimiento congelador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,U,40.539,39.610,47.500,56.669,60.303,63.326,118.309,60.540,1.410.809,1.128.324,294.980,76.850,20.823,29.929,120.894,24.926,36.332,43.509,60.153,708.671,94.176,64.116,258.235,152.059,49.576,,,,,,
,,         Valor,MP,10.643,9.978,11.334,14.561,10.857,13.167,16.302,12.431,305.301,209.701,66.133,18.433,5.446,10.606,13.157,8.851,12.050,14.376,19.038,22.313,32.182,22.520,34.390,32.782,22.353,,,,,,
,,     Acumuladores eléctricos ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,    (baterías de acumulación),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,5.413,8.093,4.711,6.236,7.855,10.141,10.798,13.908,19.496,19.067,28.610,14.692,13.598,32.338,18.171,21.252,20.852,33.236,39.285,21.545,34.316,24.253,21.627,30.517,35.341,,,,,,
,,     Partes y piezas de acumuladores eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,617,716,873,984,507,1.055,445,416,713,490,1.078,775,1.834,1.189,1.390,1.395,1.467,1.724,2.275,440,565,477,1.130,374,356,,,,,,
,,     Lámparas de incandescencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,MU,1.444,6.308,12.313,6.421,4.588,3.710,6.870,3.954,2.681,2.505,2.858,1.044,576,1.888,1.108,2.128,1.252,2.299,1.375,881,717,208,143,229,603,,,,,,
,,         Valor,MP,1.373,11.027,7.603,6.469,3.401,4.245,5.426,5.016,2.985,3.265,2.986,1.474,1.347,2.322,1.415,2.561,2.069,3.525,2.039,1.634,1.960,1.004,3.008,513,953,,,,,,
,,     Lámparas de descarga (excepto de rayos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,       ultravioletas),,,,,,,,,,,,,,,,,,,,,,,1.800,5.874,798,1.304,,,,,,
,,         Cantidad,MU,4.783,4.781,6.452,6.488,4.004,3.519,9.520,14.737,151.082,162.723,10.920,4.349,7.181,7.612,4.981,6.935,18.525,12.565,5.047,2.684,2.080,2.595,8.740,1.082,1.654,,,,,,
,,         Valor,MP,21.481,11.087,9.708,9.403,8.199,6.096,12.369,21.594,187.362,187.877,21.764,6.815,7.255,10.520,8.749,10.682,15.830,11.516,6.603,5.553,4.331,,,,,,,,,,
,,     Aparatos y dispositivos eléctricos de encendido,,,,,,,,,,,,,,,,,,,,,,,3.391,11.605,1.366,2.005,,,,,,
,,       o de arranque para motores,,,,,,,,,,,,,,,,,,,,,,,4.186,14.471,1.650,2.355,,,,,,
,,         Valor,MP,5.364,8.028,6.588,7.105,5.557,6.193,8.074,9.053,13.416,16.834,19.284,9.906,8.509,15.270,16.407,22.198,17.721,17.584,17.177,15.835,12.228,,,,,,,,,,
,78,    Equipo de carretera,,,,,,,,,,,,,,,,,,,,,,,4.982,17.337,1.935,2.706,,,,,,
,,         Valor,MP,166.547,207.312,254.285,236.109,143.685,163.237,202.414,273.179,300.550,371.559,588.567,305.681,274.440,282.441,305.785,331.317,245.252,525.874,553.648,529.639,496.768,5.777,20.202,2.219,3.056,,,,,,
,,     Vehículos automotores para el transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,       de personas,,,,,,,,,,,,,,,,,,,,,,,6.573,23.068,2.503,3.406,,,,,,
,,         Cantidad,U,6.936,7.962,13.906,11.317,9.690,10.332,13.786,9.728,6.189,5.811,7.172,4.754,5.170,5.946,4.855,4.643,3.403,5.394,5.171,16.725,4.831,7.369,25.934,2.788,3.757,,,,,,
,,         Valor,MP,38.120,51.661,51.521,59.954,46.011,59.147,54.678,73.885,51.498,50.273,80.430,46.462,54.060,52.676,62.875,60.563,35.949,65.579,76.798,48.176,69.033,,,,,,,,,,
,,     Vehículos automotores de pasajeros del,,,,,,,,,,,,,,,,,,,,,,,8.164,28.799,3.072,4.107,,,,,,
,,       tipo utilizado para transportes públicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,U,530,8.974,4.311,891,769,534,927,1.396,1.221,1.887,1.541,733,990,319,514,647,292,1.965,1.644,903,1.045,1.122,188,163,354,,,,,,
,,         Valor,MP,21.013,32.576,55.102,14.949,9.774,18.227,30.507,58.788,63.104,91.313,86.623,34.997,41.943,14.755,39.812,35.677,19.672,138.505,104.624,77.544,84.185,42.154,8.773,5.041,19.119,,,,,,
,,     Vehículos automotores para el transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,        de mercancías ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,U,1.656,2.136,2.460,2.560,1.553,630,1.517,1.725,1.648,1.622,5.991,2.760,959,760,476,3.094,482,1.653,2.491,28.443,2.292,1.627,1.477,2.385,725,,,,,,
,,         Valor,MP,30.380,36.149,46.654,47.215,29.443,19.573,38.142,43.985,45.640,68.963,146.339,67.746,38.475,51.435,30.486,52.342,23.089,85.477,99.166,102.637,102.763,76.445,63.762,28.402,44.966,,,,,,
,,     Unidades motrices de carretera para,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,       semirremolques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,U,3,1.137,169,168,14,63,64,90,264,150,707,196,24,121,20,121,60,142,481,450,429,54,67,4,-,,,,,,
,,         Valor,MP,89,3.550,3.971,4.872,415,2.093,2.574,3.764,11.256,5.693,34.596,9.158,1.008,4.445,593,6.956,4.018,8.666,26.951,19.369,12.629,2.319,2.413,65,-,,,,,,
,,     Vehículos automotores para usos especiales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,U,557,155,891,377,123,89,186,1.142,351,362,385,358,429,331,779,906,7.036,339,330,1.955,527,432,237,141,661,,,,,,
,,         Valor,MP,12.225,7.774,8.348,11.254,7.087,4.517,10.078,18.663,23.501,31.877,32.987,28.528,55.407,32.192,43.325,16.584,24.109,31.607,33.783,70.157,56.870,39.136,27.900,13.311,25.826,,,,,,
,,     Accesorios y piezas para equipos automotores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,48.337,59.380,70.042,73.306,37.071,43.579,49.795,55.371,75.437,90.780,141.763,74.473,59.802,96.774,94.887,132.928,115.954,146.256,147.420,149.162,122.601,88.185,51.053,36.776,36.917,,,,,,
,,     Motocicletas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,U,3.657,4.458,3.738,7.627,2.866,6.235,4.858,5.048,7.047,8.779,20.913,8.860,2.561,9.742,2.975,27.307,1.173,3.849,70.467,213.029,61.201,1.760,5.414,952,95.519,,,,,,
,,         Valor,MP,4.439,4.179,4.581,9.085,2.899,7.604,5.362,4.617,5.639,5.815,10.967,3.564,2.131,3.074,4.114,2.437,1.114,3.844,4.679,5.667,4.815,2.945,5.049,587,4.136,,,,,,
,,     Accesorios y piezas para motocicletas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,3.657,4.061,3.144,2.385,2.909,1.267,1.470,1.234,1.687,4.326,4.692,2.282,1.811,3.196,4.668,3.031,0,1,0,-,-,-,-,-,-,,,,,,
,,"     Remolques y semirremolques, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,U,76,151,355,124,51,111,65,92,131,177,2.982,1.018,101,356,116,198,39,170,732,551,236,237,897,2.057,52,,,,,,
,,         Valor,MP,1.228,1.394,1.653,853,642,787,812,2.390,1.813,2.183,12.901,14.046,2.163,3.014,3.131,3.114,691,7.189,16.533,17.105,6.696,7.345,1.465,621,395,,,,,,
,79,Otro equipo de transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,20.090,26.579,24.856,34.147,68.727,8.628,27.938,70.602,91.283,204.627,102.594,91.645,128.266,26.944,18.625,119.861,109.125,45.322,60.828,56.682,69.306,150.419,17.838,5.207,17.146,,,,,,
,,     Locomotoras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,U,                 -,10,7,28,1,                 -,                 -,                 -,31,64,40,-,60,3,-,-,-,-,-,7,38,8,7,-,-,,,,,,
,,         Valor,MP,                 -,2.343,1.504,5.979,36,                 -,                 -,                 -,14.332,2.440,46.863,-,93.137,3,-,-,-,-,-,8.166,44.981,8.814,8.850,-,-,,,,,,
,,     Furgones y vagones de carga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,U,6,                 -,                 -,4,                 -,                 -,6,                 -,22,187,512,187,50,-,-,55 ,-,-,363,225,94,115,-,-,-,,,,,,
,,         Valor,MP,                 -,                 -,                 -,577,                 -,                 -,0,                 -,253,17.169,23.220,19.438,4.543,-,-,7.314,-,-,22.450,14.245,5.154,7.749,-,-,-,,,,,,
,,     Accesorios y piezas para equipos  ferroviarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,4.350,6.022,7.942,5.909,3.093,1.308,2.280,3.568,4.558,10.379,7.158,6.522,7.892,6.674,1.765,4.682,2.877,2.330,11.053,4.215,2.746,5.008,695,325,1.920,,,,,,
,,     Accesorios y piezas para vías férreas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,                 -,56,135,85,891,175,72,91,10,221,240,1.027,18,140,377,154,42,26,7,89,41,41,83,32,13,,,,,,
,,"     Aviones y otras aeronaves, con propulsión ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,       mecánica (excepto helicópteros),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,11.200,11.398,5.700,374,38.392,576,15.300,7.570,16.490,2.088,6.521,883,1.058,314,-,1.236,-,-,1.811,2.029,0,1.938,1.383,1.552,-,,,,,,
8 ,,Artículos manufacturados diversos ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,442.577,447.538,502.820,508.249,427.924,516.730,565.969,725.567,881.389,891.085,1.000.357,735.619,595.396,732.055,666.543,775.899,741.301,873.537,895.208,732.827,672.690,504.503,375.956,357.144,381.978,,,,,,
,81,  Edificios prefabricados; artefactos y ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,    accesorios sanitarios y para sistemas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"    de conducción de aguas, calefacción y ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"    alumbrado, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,24.663,26.276,39.662,40.557,32.602,36.923,33.012,45.769,64.225,66.023,88.014,51.799,49.833,65.689,47.842,90.442,53.381,67.928,86.621,86.338,90.998,55.899,76.678,43.412,30.139,,,,,,
,,     Edificios prefabricados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad (b),t,2.105,2.191,6.369,1.804,                 -,4.324,2.041,5.037,7.325,9.790,12.181,5.555,5.384,8.453,876,1.412,1.608,4.996,7.852,3.899,0,-,-,-,-,,,,,,
,,         Valor,MP,5.681,6.926,18.552,6.386,                 -,11.322,9.473,13.336,25.282,32.261,50.978,23.229,22.931,32.116,17.357,43.619,13.263,20.606,34.833,39.606,0,-,-,-,-,,,,,,
,,     Arañas y otros artefactos de techo y de pared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,       para alumbrado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,U,331.678,388.726,578.121,460.707,524.662,786.986,707.308,2.645.318,4.933.777,600.930,2.202,1.137.000,1.070.376,1.297.042,678.635,1.772.640,994.107,1.878.008,1.863.715,1.827.758,856.706,758.439,323.257,995.116,-,,,,,,
,,         Valor,MP,6.024,8.090,9.236,8.633,7.728,7.643,10.418,15.634,19.126,13.310,14.444,13.546,9.994,14.006,9.016,21.230,16.680,20.372,16.683,16.904,16.087,11.423,5.638,6.132,-,,,,,,
,82,"  Muebles y sus partes; camas, colchones",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"     somieres, cojines y artículos rellenos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,     similares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,49.878,41.142,49.931,50.122,35.704,33.298,32.344,40.327,56.126,51.293,71.839,54.150,49.629,42.137,33.563,38.283,35.377,41.892,45.098,43.893,44.420,34.610,17.053,17.528,19.695,,,,,,
,,      Otros muebles de metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,U,198.000,514.170,549.070,560.661,476.242,405.626,253.810,442.054,274.655,458.230,290.448,473.632,393.755,348.520,313.876,300.220,145.198,148.992,206.175,228.525,243.907,144.113,24.680,32.908,33.165,,,,,,
,,         Valor,MP,9.822,9.980,12.456,11.866,9.008,10.422,8.928,16.227,16.570,18.918,17.999,17.731,13.988,12.345,9.516,13.306,11.763,11.280,14.518,11.455,15.761,12.935,6.350,7.745,4.820,,,,,,
,,"      Partes y piezas de los muebles, de metal, de ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,       madera y de otros materiales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,5.804,7.499,11.429,7.348,4.978,3.738,3.950,2.291,2.339,2.467,4.827,1.288,1.191,1.735,704,935,874,1.622,1.818,2.055,1.100,665,1.132,727,-,,,,,,
,83,"  Artículos de viaje, bolsos de mano y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,    otros artículos análogos para contener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,    objetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,5.266,7.698,7.261,8.457,8.702,8.568,7.842,9.020,14.268,15.588,17.656,14.236,10.324,8.800,10.581,9.455,11.998,19.696,18.709,11.512,7.441,6.339,2.806,2.775,4.944,,,,,,
,84,  Prendas y accesorios de vestir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,114.786,109.929,127.211,100.551,78.319,104.305,86.266,97.259,115.625,128.853,148.183,116.357,69.341,86.860,77.287,90.567,80.197,91.117,91.070,69.894,59.620,42.192,32.092,33.926,44.015,,,,,,
,,"      Pantalones largos, delantales y overoles con ti-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"       rantes, calzones y pantalones cortos para hom-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"       bres y niños, de tejidos que no sean de punto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,       o ganchillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,MU,4.233,4.055,5.086,4.036,2.940,4.108,3.287,4.154,4.357,4.461,4.716,3.445,1.559,1.702,1.770,1.505,1.390,1.341,1.511,969,494,869,90,395,553,,,,,,
,,         Valor,MP,22.956,21.924,21.307,18.341,12.460,17.979,14.573,17.095,18.351,20.159,24.161,17.077,9.553,11.273,10.131,10.094,9.667,10.686,12.236,8.717,4.909,4.396,1.295,4.845,6.308,,,,,,
,,      Camisas de algodón para hombres y niños,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,MU,1.563,1.321,828,1.519,617,235,131,237,199,186,267,379,330,191,164,135,87,111,135,133,168,106,22,82,84,,,,,,
,,         Valor,MP,5.863,5.047,3.326,6.421,2.928,1.315,926,2.079,1.465,1.080,1.810,2.027,1.758,1.471,1.382,1.415,951,1.188,1.381,1.503,1.700,954,280,937,1.089,,,,,,
,,"      Pantalones largos, delantales y overoles con ti-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"       rantes, calzones y pantalones cortos para muje-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"       res y niñas, de tejidos que no sean de punto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,       o ganchillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,MU,2.350,2.263,2.609,2.160,2.050,2.604,1.739,2.359,2.385,3.226,3.115,2.054,1.175,1.157,697,1.126,985,906,1.006,659,333,267,84,202,359,,,,,,
,,         Valor,MP,10.343,9.455,9.763,8.171,10.704,14.326,9.601,11.669,11.917,16.113,16.838,11.391,7.136,8.144,4.787,6.710,6.718,7.454,7.814,5.403,3.372,2.445,845,2.349,3.906,,,,,,
,,"      Jerseys, suéteres, chalecos y artículos análogos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,       de punto o ganchillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,MU,8.841,7.822,9.418,5.731,5.045,7.006,5.709,6.008,6.678,5.847,5.759,3.492,1.890,2.245,1.764,1.701,1.716,1.480,1.698,1.014,870,445,217,420,420,,,,,,
,,          Valor,MP,17.643,16.686,16.933,12.997,10.320,12.601,11.277,12.119,13.196,12.799,14.950,10.088,6.389,8.123,6.091,6.317,6.963,6.019,6.815,4.525,4.207,2.235,1.037,2.128,2.558,,,,,,
,85,  Calzado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,74.220,72.330,75.755,72.396,57.603,79.846,68.757,87.368,101.469,113.039,165.483,124.805,103.499,115.141,115.752,122.505,102.472,121.714,120.659,93.943,70.342,56.243,28.403,26.313,39.901,,,,,,
,,"      Calzado de otros tipos, con suelas y palas de ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,        caucho  o materiales plásticos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,MPares,5.595,7.220,11.100,6.458,7.776,16.950,8.520,13.186,15.551,19.908,20.639,10.485,6.340,6.829,11.477,11.639,11.983,12.266,11.666,7.641,6.002,5.566,1.345,2.049,1.991,,,,,,
,,         Valor,MP,12.626,13.192,18.073,17.862,20.331,37.119,25.778,40.556,46.829,52.456,59.417,40.206,28.219,35.241,40.712,49.550,42.836,41.721,46.946,31.608,25.728,17.824,5.305,10.065,13.400,,,,,,
,,"      Calzado, n.e.p., con suela de cuero",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,MPares,1.033,1.682,1.567,992,667,1.254,1.156,1.670,2.184,2.599,3.105,2.637,2.032,1.311,1.121,1.488,713,804,1.306,1.366,742,588,309,95,143,,,,,,
,,         Valor,MP,10.102,18.707,18.229,13.516,8.772,15.611,14.394,19.478,23.668,26.976,38.968,38.445,29.749,22.918,22.498,21.211,12.938,14.124,20.390,19.510,15.172,10.999,7.121,2.179,3.866,,,,,,
,,"      Calzado con palas de cuero natural, artificial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"       o regenerado, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,MPares,2.233,1.942,1.440,693,412,259,114,72,80,231,451,637,43,66,37,249,53,173,278,260,11,86,21,1,5,,,,,,
,,         Valor,MP,14.647,10.295,8.884,7.220,4.733,1.458,804,574,769,1.748,3.793,5.743,434,1.061,456,1.517,859,2.941,2.968,2.667,267,377,290,17,162,,,,,,
,,"      Calzado, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,MPares,5.714,2.011,1.239,1.301,1.114,553,410,107,244,272,5.681,961,79,341,298,212,43,287,168,27,81,44,8,37,76,,,,,,
