8.12 -  Importaciones de productos seleccionados según secciones y capítulos de la Clasificación Uniforme para el Comercio  Internacional (CUCI) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sección ,Capítulo,CONCEPTO, UM,1998 ,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Valor total de las importaciones (a),MP,4.181.192,4.349.090,4.795.613,4.793.235,4.140.767,4.612.598,5.615.198,7.604.259,9.497.890,10.079.210,14.234.094,8.906.010,10.644.338,13.952.403,13.800.851,14.706.619,13.036.844,11.702.367,10.269.904,10.171.983,11.483.653,9.901.427,7.230.347,8.431.207,9.833.120,,,,,,
0 ,,   Productos alimenticios y animales vivos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,684,459,803,842,781,732,3.311,878,750,10.474,10.129,1.038,2.246,816,1.290,1.588,1.771,1.798,1.197,2.838,1.866,2.476,1.298,2.099,2.281,,,,,,
,,       Malta tostada o no (incluso harina de malta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,17.870,17.108,17.626,25.540,29.984,24.999,24.479,21.764,22.384,24.223,29.527,21.769,26.216,25.641,29.105,24.606,26.740,29.743,26.240,29.003,27.844,22.540,14.421,10.217,8.675,,,,,,
,,         Valor,MP,7.817,6.272,6.439,10.618,12.325,10.433,9.774,9.805,8.915,15.154,26.760,15.852,15.413,18.701,20.328,17.522,16.880,16.267,13.854,15.036,15.895,13.222,9.212,7.552,10.133,,,,,,
,05,     Legumbres y frutas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,72.121,95.899,74.298,85.726,81.505,120.088,127.219,134.701,130.187,160.054,219.402,134.819,91.352,113.167,90.911,119.467,123.121,94.698,124.055,147.198,135.240,130.515,130.632,170.493,169.830,,,,,,
,,       Conservas de frutas y vegetales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,9.504,9.616,9.298,9.866,8.909,12.060,13.564,17.145,26.358,20.653,24.287,11.339,19.981,13.156,13.273,12.780,16.783,19.130,24.519,30.543,28.785,28.010,16.642,22.295,21.574,,,,,,
,,         Valor,MP,11.929,13.473,12.038,12.279,11.244,14.801,17.749,21.747,28.350,25.421,35.806,19.902,28.214,24.154,22.330,26.644,30.100,35.568,43.052,53.924,52.254,46.828,30.518,44.537,47.771,,,,,,
,,       Papas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,42.400,35.166,38.541,34.145,35.219,42.344,40.323,37.049,27.644,26.127,34.600,29.298,20.063,15.974,13.140,6.291,8.185,15.233,12.409,15.525,14.484,19.837,10.306,16.087,13.066,,,,,,
