8.5 - Exportaciones según país del último destino de las  mercancías  por países seleccionados y áreas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        geográficas,,,,,,,,,,,,,,,,,,,                                          ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,Miles de pesos,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAÍSES SELECCIONADOS,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total,5.991.477,5.321.489,5.402.060,5.512.441,5.399.884,5.414.949,2.979.512,1.779.424,1.156.663,1.330.756,1.491.634,1.865.526,1.819.127,1.512.197,1.495.783,1.675.259,1.621.891,1.421.670,1.688.017,2.332.118,2.159.443,2.924.558,3.685.665,3.664.157,2.863.004,4.549.533,5.870.090,5.577.268,5.283.142,4.857.468,3.349.640,2.316.934,2.401.688,2.372.779,2.062.469,1.702.812,1.966.040,2.170.009
  Taiwán,-,17,142,105,-,-,-,-,663,234,31,1.083,1.102,23.343,2.422,11.210,1.175,3.793,2.227,2.235,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
  Turquía,-,19,2.320,11,127,5.063,18,17,7,3,31,7.143,220,130,39,254,19,-,801,333,827,2.243,218,52,1.691,249,315,2.285,8.056,8.922,11.939,10.982,9.174,8.112,10.318,6.386,3.146,5.638
  Viet Nam,1.588,3.138,7.768,6.400,6.454,5.041,3.275,4.747,4.388,756,68,442,8,64,29,29,295,153,233,283,542,1.851,2.519,2.224,3.130,2.864,5.032,7.821,26.496,27.463,4.784,4.958,6.773,6.774,7.193,2.596,35.954,6.128
  Otros,2.304,8.132,5.462,8.940,7.007,5.201,3.864,5.835,34,16.620,1.234,1.621,11.969,17.233,5.379,54.362,12.900,6.855,18.385,12.795,21.607,26.529,22.678,27.561,23.553,31.808,150.987,45.496,72.113,82.217,94.976,86.019,112.726,62.057,84.676,39.939,94.016,87.763
 África,78.296,78.003,59.695,64.808,96.519,189.139,123.868,88.602,70.938,163.573,108.742,103.515,144.802,28.297,18.650,12.895,15.937,25.749,16.844,7.634,18.981,10.465,60.880,290.908,244.103,190.072,307.824,132.648,76.068,185.538,36.690,33.791,10.646,5.886,6.834,20.358,8.387,9.307
  Angola,26.054,16.702,12.542,14.539,6.065,7.150,137,90,55,53,50,3,63,29,85,135,104,114,80,77,873,1.598,14,7.323,33.375,27.482,8.670,765,7.008,21.965,5.600,12.338,4.423,221,144,1.207,18,58
  Argelia,8.314,13.617,7.405,28.553,37.032,47.388,41.878,37.855,24.946,30.141,29.575,23.891,3.343,899,859,796,1.270,9.001,6.100,2.806,1.271,1.884,8.880,4.433,1.450,868,12.325,10.531,2.040,2.423,2.364,2.258,641,147,1.128,353,904,4.354
  Cabo Verde,450,632,1.266,2,1.998,2.835,2.926,69,447,-,60,-,-,93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"  Congo, República del ",106,60,14,-,363,-,-,-,-,-,-,1,-,-,-,30,7,49,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Costa de Marfil,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-, -,27.827,93.465, -, -, -, -, -, -, -, -, -, -, -, -
