8.6- Importaciones según país de origen de las mercancías  por  países seleccionados y áreas geográficas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,                                         ,,,,,,,,,,,,,,,,,,                Miles de pesos,                Miles de pesos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAÍSES SELECCIONADOS,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total,8.034.976,7.596.136,7.583.678,7.602.894,8.139.811,7.416.525,4.233.752,2.314.916,2.008.215,2.016.821,2.882.530,3.568.997,3.987.256,4.181.192,4.349.090,4.795.613,4.793.235,4.188.148,4.672.763,5.615.198,7.604.259,9.497.890,10.079.210,14.234.094,8.906.010,10.644.338,13.952.403,13.800.851,14.706.619,13.036.844,11.702.367,10.269.904,10.171.982,11.483.653,9.901.427,7.230.347,8.431.207,9.833.119
  Ghana,-,-,-,4.480,3.989,16.530,24.569,5.729,-,-,-,63,3,535,-,36,-,-,559,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Libia,-,-,-,-,-,-,-,-,-,-,-,-,-,10.023,-,-,1,-,813,-,-,25,4.163,-,-,-,1.699,-,-,-,-,-,-,-,-,-,-,-
  Marruecos,-,-,-,-,-,-,-,-,-,-,-,5,41,1.127,1.665,20,47,351,280,230,587,4.339,5.854,37.933,2.067,3.566,3.339,6.365,10.481,7.294,714,1.244,7.494,9.688,368,682,312,1.377
  Mozambique,-,-,123,142,187,-,1.170,527,332,428,469,700,94,522,50,332,130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
  Nigeria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2.140,2.540,1.240, -,-,0, -, -,14,-,3.831,-,-,12.416,-
  República Árabe de Egipto,260,-,3,-,-,-,-,-,365,-,-,-,220,3.896,850,571,1.164,511,3.729,3.435,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
  Sudáfrica,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,697,629,365,723,398,604,2.960,11.442,18.693,4.630,4.947,6.277,17.879,6.085,1.470,4.223,6.057,11.305
  Túnez,5.692,8.646,9.964,820,3.571,5.282,5.483,4.048,10.021,8.090,21.444,22.757,11.785,13.151,12.069,15.902,15.035,7.666,5.555,22,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
  Otros,-,7.266,15.662,6.665,19.794,9.530,-,80,907,253,1.893,18.993,48.757,70.460,7.827,7.509,3.511,1.520,3.003,2.215,4.335,2.816,3.950,3.111,2.751,3.739,13.002,3.394,18.775,3.225,12.093,3.243,5.175,37.196,37.905,14.190,79.264,29.750
 América,379.536,297.435,294.346,360.454,515.707,444.945,335.736,545.453,891.258,890.253,1.441.289,1.760.453,1.876.385,1.612.312,1.769.771,2.163.438,2.145.006,1.827.919,2.029.826,2.835.297,3.872.412,4.251.053,4.525.129,7.772.878,4.834.028,6.383.887,8.695.640,8.667.338,8.815.119,7.856.614,5.353.954,3.996.900,4.221.570,5.125.857,4.000.100,2.770.102,3.178.350,4.211.505
  Antigua y Barbuda,-,-,-,-,-,-,-,-,1.941,6.343,3.634,2.177,7.635,84,1.195,540,6,11,7,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Antillas Holandesas,-,-,-,-,-,-,153,1.000,56.081,128.705,227.449,326.070,205.437,74.397,84.312,25.788,12.441,2.419,43.365,77.743,27.897,660,882,698,250,38.948,149.983,29.823,1.240.542,94.143,26.956,-,4,-,1,-,1.055,-
  Argentina,193.339,162.250,124.339,127.506,179.145,125.986,82.250,55.249,65.146,53.718,77.639,103.418,182.369,108.827,129.938,73.421,77.887,40.094,43.734,116.415,158.342,110.531,146.036,125.305,120.161,129.110,148.613,119.539,370.520,335.752,369.281,421.061,255.045,312.050,349.855,403.917,461.593,347.514
  Bahamas,63,-,-,-,-,-,-,65,3.560,12.896,438,18.185,8.843,23.486,21.426,45.403,8.425,8.693,17.558,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Bermudas,-,-,353,723,-,-,-,171.116,6.798,1.507,-,-,1,4,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Bolivia,3,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,30,10,50,44,71,2,261,451,471,2.323,4,132,1.919,268,334,367,1.603,943,5.665,7.988,670,453
  Brasil,24,4,2.148,18.945,61.750,81.200,54.950,10.810,21.425,15.681,33.830,43.646,44.784,63.630,75.761,130.129,156.483,110.596,107.771,176.546,312.484,428.255,382.087,600.141,507.875,444.354,643.863,648.177,614.185,587.274,641.714,441.121,423.682,447.886,337.670,261.614,228.244,377.815
  Canadá,58.802,53.407,32.992,28.553,37.191,61.446,60.120,111.109,76.114,83.067,220.294,205.977,264.537,321.046,339.642,311.074,364.130,251.929,240.174,268.192,339.855,351.604,436.723,655.778,309.861,331.398,478.784,387.253,450.646,408.346,365.990,277.273,322.555,338.116,263.786,199.484,212.256,210.837
  Chile,-,-,-,-,-,-,6.977,139,834,8.581,15.707,22.847,22.864,14.967,31.819,43.429,41.943,46.369,57.217,77.012,60.695,56.177,74.522,73.990,53.000,44.971,55.985,34.901,35.762,45.797,55.238,46.073,44.003,46.957,54.460,12.151,12.357,102.276
  Colombia,2.415,2.347,1.001,2.611,22.872,15.225,7.750,12.568,61.522,36.132,17.388,61.346,25.347,30.312,36.978,85.156,24.879,77.162,98.327,56.430,82.611,56.968,71.674,69.005,49.939,46.681,68.124,51.462,57.499,54.949,60.769,70.059,64.900,83.553,67.881,38.360,41.853,40.555
  Costa Rica,-,-,154,341,683,-,550,-,5,7,150,742,3.064,3.947,6.743,8.549,11.437,10.599,13.169,12.871,11.556,8.719,12.282,21.018,14.548,16.582,27.053,34.097,39.748,35.325,22.314,23.196,20.023,22.376,22.196,16.114,14.629,8.553
  Dominica,-,-,-,-,-,-,125,-,110,-,6,51,447,340,220,233,5,220,52,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
  Ecuador,-,-,-,-,10.269,2.200,-,5.696,96.671,20.576,33.250,43.713,6.138,13.589,16.254,11.002,11.043,8.352,8.220,10.970,13.450,10.217,15.258,18.776,16.805,15.564,14.781,22.929,24.022,40.890,23.029,18.907,18.923,26.369,25.522,11.930,10.150,9.524
